,business_id,name,address,city,state,postal_code,latitude,longitude,stars,is_open,operation_years,American,Mexican,Italian,Japanese,Chinese,Thai,Mediterranean,French,Vietnamese,Greek,Indian,Korean,Hawaiian,African,Spanish,Middle_eastern,Other,age,review_count_16_19,review_normalized,pos,neg,neutral,pos_norm,neg_norm,neutral_norm,bi_goodfood_text,bi_goodloc_text,bi_bad_text,Delivery,RestaurantsPriceRange2,OutdoorSeating,HasTV,Touristy,Hipster,Romantic,Divey,Intimate,Trendy,Upscale,Classy,Casual,Alc_None_served,Alc_beer_and_wine,Alc_full_bar,open_breakfast,open_lunch,open_dinner,open_hours_meals,displayed_open_hours
0,bRsDZ44CD3uhGnRY3NeQhQ,Wendy's,6247 Mcneil Drive,Austin,TX,78729,30.4418754072,-97.7465811589,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,34,4.25,6.0,27.0,1.0,0.75,3.38,0.12,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1
1,Pk4ZwXwUU50BDn5gqw_rKg,Johnny Carino's,9500 S IH-35 Service Rd,Austin,TX,78748,30.162081,-97.789132,3.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,68,5.67,25.0,33.0,10.0,2.08,2.75,0.83,16,12,6,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,2,1
2,m_a0-8_wR1ypvZzDGeSIgA,Wingstop,"5167 Kyle Center Dr, Ste 114",Kyle,TX,78640,30.0134653475,-97.8636249301,2.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,27,6.75,12.0,12.0,3.0,3.0,3.0,0.75,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,1
3,Ieelu69Y23nbjKG3OGfwnw,McDonald's,5017 Hwy 290 W,Austin,TX,78735,30.2321333363,-97.8231829405,1.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,5,0.83,1.0,4.0,0.0,0.17,0.67,0.0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,3,1
4,UbP_JuB-zHHfLz2dvKe9yw,Taqueria Peloncitos,5303 Nuckols Crossing Rd,Austin,TX,78744,30.1925973,-97.7386784,4.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,2.0,6.0,2.0,0.0,1.5,0.5,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,3,1
5,eOnMGfoj3YOxGPDjrDE-sg,Panda Express,2501 W Parmer Ln,Austin,TX,78727,30.4183815514,-97.7019745078,2.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,36,3.6,1.0,31.0,4.0,0.1,3.1,0.4,4,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1
6,owJ_0-9YBYfy40YD7l_KSA,Texas Chili Queens,,Austin,TX,78701,30.2729209,-97.7443863,4.0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,40,8.0,32.0,6.0,2.0,6.4,1.2,0.4,2,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7,Q7SAbnbAhr5n3_S6tF0fQg,Mimi's Cafe,12613 Galleria Cr,Bee Cave,TX,78738,30.3069183783,-97.9384293312,2.5,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,41,3.73,17.0,20.0,4.0,1.55,1.82,0.36,12,6,2,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,3,1
8,RG14VD07mNN-oXeTAYB8Fg,Holy Macaroni,2512 Rio Grande St,Austin,TX,78705,30.2905467,-97.7446487,3.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,3.75,7.0,4.0,4.0,1.75,1.0,1.0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1
9,fDagm540ieAAh5G9LA27Yg,Halal Bros,1910 W Braker Ln,Austin,TX,78758,30.393005,-97.706731,4.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,324,81.0,266.0,42.0,16.0,66.5,10.5,4.0,60,41,16,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,2,1
